	publication	category	short_list	title_CR	link
239	medRxiv	Epidemiology	Brian Cleary,  James A Hay,  Brendan Blumenstiel, ...	Efficient prevalence estimation and infected sample identification with group testing for SARS-CoV-2	https://www.medRxiv.org/content/10.1101/2020.05.01.20086801v1.article-metrics
195	medRxiv	Epidemiology	Andrew N Cohen,  Bruce Kessel,  Michael G Milgroom, ...	False positives in reverse transcription PCR testing for SARS-CoV-2	https://www.medRxiv.org/content/10.1101/2020.04.26.20080911v1.article-metrics
215	medRxiv	Epidemiology	- The OpenSAFELY Collaborative,  Elizabeth Williamson,  Alex J Walker, ...	OpenSAFELY: factors associated with COVID-19-related hospital death in the linked electronic health records of 17 million adult NHS patients.	https://www.medRxiv.org/content/10.1101/2020.05.06.20092999v1.article-metrics
209	medRxiv	Epidemiology	Benjamin J Cowling,  Sheikh Taslim Ali,  Tiffany W. Y. Ng, ...	Impact assessment of non-pharmaceutical interventions against COVID-19 and influenza in Hong Kong: an observational study	https://www.medRxiv.org/content/10.1101/2020.03.12.20034660v1.article-metrics
172	medRxiv	Epidemiology	Raj Dandekar,  George Barbastathis,  Everlon Figueiroa, ...	Quantifying the effect of quarantine control in Covid-19 infectious spread using machine learning	https://www.medRxiv.org/content/10.1101/2020.04.03.20052084v1.article-metrics
162	medRxiv	Epidemiology	Gareth Davies,  Attila R Garami,  Joanna C Byers, ...	Evidence Supports a Causal Model for Vitamin D in COVID-19 Outcomes	https://www.medRxiv.org/content/10.1101/2020.05.01.20087965v1.article-metrics
224	medRxiv	Epidemiology	Marc Emmenegger,  Elena De Cecco,  David Lamparter, ...	Population-wide evolution of SARS-CoV-2 immunity tracked by a ternary immunoassay	https://www.medRxiv.org/content/10.1101/2020.05.31.20118554v1.article-metrics
203	medRxiv	Epidemiology	Pirous Fateh-Moghadam,  Laura Battisti,  Silvia Molinaro, ...	Contact tracing during Phase I of the COVID-19 pandemic in the Province of Trento, Italy: key findings and recommendations	https://www.medRxiv.org/content/10.1101/2020.07.16.20127357v1.article-metrics
236	medRxiv	Epidemiology	Jeremy Faust,  Carlos del Rio,  Carole H Sudre, ...	Relative disease burdens of COVID-19 and seasonal influenza in New York City, February 1 - April 18, 2020.	https://www.medRxiv.org/content/10.1101/2020.04.22.20073551v1.article-metrics
207	medRxiv	Epidemiology	Jasmine M Gardner,  Lander Willem,  Wouter van der Wijngaart, ...	Intervention strategies against COVID-19 and their estimated impact on Swedish healthcare capacity	https://www.medRxiv.org/content/10.1101/2020.04.11.20062133v1.article-metrics
181	medRxiv	Epidemiology	Edward Goldstein,  Marc Lipsitch,  Muge Cevik, ...	On the effect of age on the transmission of SARS-CoV-2 in households, schools and the community	https://www.medRxiv.org/content/10.1101/2020.07.19.20157362v1.article-metrics
201	medRxiv	Epidemiology	M. Gabriela M. Gomes,  Rodrigo M. Corder,  Jessica G. King, ...	Individual variation in susceptibility or exposure to SARS-CoV-2 lowers the herd immunity threshold	https://www.medRxiv.org/content/10.1101/2020.04.27.20081893v1.article-metrics
165	medRxiv	Epidemiology	Katelyn M Gostic,  Lauren McGough,  Edward Baskerville, ...	Practical considerations for measuring the effective reproductive number, Rt	https://www.medRxiv.org/content/10.1101/2020.06.18.20134858v1.article-metrics
192	medRxiv	Epidemiology	Gareth Griffith,  Tim T Morris,  Matt Tudball, ...	Collider bias undermines our understanding of COVID-19 disease risk and severity	https://www.medRxiv.org/content/10.1101/2020.05.04.20090506v1.article-metrics
186	medRxiv	Epidemiology	Tom Jefferson,  Elizabeth Spencer,  Jon Brassey, ...	Viral cultures for COVID-19 infectivity assessment. Systematic review	https://www.medRxiv.org/content/10.1101/2020.08.04.20167932v1.article-metrics
218	medRxiv	Epidemiology	Qin-Long Jing,  Ming-Jin Liu,  Jun Yuan, ...	Household Secondary Attack Rate of COVID-19 and Associated Determinants	https://www.medRxiv.org/content/10.1101/2020.04.11.20056010v1.article-metrics
160	medRxiv	Epidemiology	Yasuhiko Kamikubo,  Atsushi Takahashi,  Wan-Jin Yeo, ...	Epidemiological Tools that Predict Partial Herd Immunity to SARS Coronavirus 2	https://www.medRxiv.org/content/10.1101/2020.03.25.20043679v1.article-metrics
163	medRxiv	Epidemiology	Stephen M Kissler,  Christine Tedijanto,  Edward Goldstein, ...	Projecting the transmission dynamics of SARS-CoV-2 through the post-pandemic period	https://www.medRxiv.org/content/10.1101/2020.03.04.20031112v1.article-metrics
169	medRxiv	Epidemiology	Stephen M Kissler,  Christine Tedijanto,  Marc Lipsitch, ...	Social distancing strategies for curbing the COVID-19 epidemic	https://www.medRxiv.org/content/10.1101/2020.03.22.20041079v1.article-metrics
177	medRxiv	Epidemiology	Ludwig Knabl,  Tanmay Mitra,  Janine Kimpel, ...	High SARS-CoV-2 Seroprevalence in Children and Adults in the Austrian Ski Resort Ischgl	https://www.medRxiv.org/content/10.1101/2020.08.20.20178533v1.article-metrics
234	medRxiv	Epidemiology	Max SY Lau,  Bryan Grenfell,  Michael Thomas, ...	Characterizing super-spreading events and age-specific infectivity of COVID-19 transmission in Georgia, USA	https://www.medRxiv.org/content/10.1101/2020.06.20.20130476v1.article-metrics
189	medRxiv	Epidemiology	Ramanan Laxminarayan,  Brian Wahl,  Shankar Reddy Dudala, ...	Epidemiology and transmission dynamics of COVID-19 in two Indian states	https://www.medRxiv.org/content/10.1101/2020.07.14.20153643v1.article-metrics
217	medRxiv	Epidemiology	John A Lednicky,  Michael Lauzardo,  Z. Hugh Fan, ...	Viable SARS-CoV-2 in the air of a hospital room with COVID-19 patients	https://www.medRxiv.org/content/10.1101/2020.08.03.20167395v1.article-metrics
212	medRxiv	Epidemiology	Christopher T Leffler,  Edsel B Ing,  Joseph D. Lykins V, ...	Association of country-wide coronavirus mortality with demographics, testing, lockdowns, and public wearing of masks.	https://www.medRxiv.org/content/10.1101/2020.05.22.20109231v1.article-metrics
196	medRxiv	Epidemiology	Jacob Lemieux,  Katherine J Siddle,  Bennett M. Shaw, ...	Phylogenetic analysis of SARS-CoV-2 in the Boston area highlights the role of recurrent importation and superspreading events	https://www.medRxiv.org/content/10.1101/2020.08.23.20178236v1.article-metrics
211	medRxiv	Epidemiology	Michael Levitt,  Andrea Scaiewicz,  Francesco Zonta, ...	Predicting the Trajectory of Any COVID19 Epidemic From the Best Straight Line	https://www.medRxiv.org/content/10.1101/2020.06.26.20140814v1.article-metrics
206	medRxiv	Epidemiology	Glykeria Loupa,  Dimitra Karali,  SPYRIDON RAPSOMANIKIS, ...	Aerosol filtering efficiency of respiratory face masks used during the COVID-19 pandemic	https://www.medRxiv.org/content/10.1101/2020.07.16.20155119v1.article-metrics
204	medRxiv	Epidemiology	Jose Lourenco,  Robert Paton,  Mahan Ghafari, ...	Fundamental principles of epidemic spread highlight the immediate need forlarge-scale serological surveys to assess the stage of the SARS-CoV-2 epidemic	https://www.medRxiv.org/content/10.1101/2020.03.24.20042291v1.article-metrics
231	medRxiv	Epidemiology	Jose Lourenco,  Francesco Pinotti,  Craig Thompson, ...	The impact of host resistance on cumulative mortality and the threshold of herd immunity for SARS-CoV-2	https://www.medRxiv.org/content/10.1101/2020.07.15.20154294v1.article-metrics
230	medRxiv	Epidemiology	Wei Luo,  Maimuna S Majumder,  Dianbo Liu, ...	The role of absolute humidity on transmission rates of the COVID-19 outbreak	https://www.medRxiv.org/content/10.1101/2020.02.12.20022467v1.article-metrics
216	medRxiv	Epidemiology	Judith Malmgren,  Boya Guo,  Henry G Kaplan, ...	COVID-19 Confirmed Case Incidence Age Shift to Young Persons Age 0-19 and 20-39 Years Over Time: Washington State March - April 2020	https://www.medRxiv.org/content/10.1101/2020.05.21.20109389v1.article-metrics
197	medRxiv	Epidemiology	Thomas A. J. Meunier,  Paul Romer,  Sten Linnarsson, ...	Full lockdown policies in Western Europe countries have no evident impacts on the COVID-19 epidemic.	https://www.medRxiv.org/content/10.1101/2020.04.24.20078717v1.article-metrics
214	medRxiv	Epidemiology	Gideon Meyerowitz-Katz,  Lea Merone,  Hsiangkuo Yuan, ...	A systematic review and meta-analysis of published research data on COVID-19 infection-fatality rates	https://www.medRxiv.org/content/10.1101/2020.05.03.20089854v1.article-metrics
235	medRxiv	Epidemiology	Aaron Miller,  Mac Josh Reandelar,  Kimberly Fasciglione, ...	Correlation between universal BCG vaccination policy and reduced morbidity and mortality for COVID-19: an epidemiological study	https://www.medRxiv.org/content/10.1101/2020.03.24.20042937v1.article-metrics
223	medRxiv	Epidemiology	Oriol Mitja,  Maria Ubals,  Marc Corbacho, ...	A Cluster-Randomized Trial of Hydroxychloroquine as Prevention of Covid-19 Transmission and Disease	https://www.medRxiv.org/content/10.1101/2020.07.20.20157651v1.article-metrics
219	medRxiv	Epidemiology	Chirag Modi,  Vanessa Boehm,  Simone Ferraro, ...	Total COVID-19 Mortality in Italy: Excess Mortality and Age Dependence through Time-Series Analysis	https://www.medRxiv.org/content/10.1101/2020.04.15.20067074v1.article-metrics
166	medRxiv	Epidemiology	Karin Modig,  Marcus Ebeling,  Babak Amra, ...	EXCESS MORTALITY FROM COVID-19. WEEKLY EXCESS DEATH RATES BY AGE AND SEX FOR SWEDEN.	https://www.medRxiv.org/content/10.1101/2020.05.10.20096909v1.article-metrics
183	medRxiv	Epidemiology	Rahul Kalippurayil Moozhipurath,  Lennart Kraft,  Mohammad Bahrami, ...	Does Lockdown Decrease the Protective Role of ultraviolet-B (UVB) Radiation in Reducing COVID-19 Deaths?	https://www.medRxiv.org/content/10.1101/2020.06.30.20143586v1.article-metrics
222	medRxiv	Epidemiology	Hiroshi Nishiura,  Hitoshi Oshitani,  Tetsuro Kobayashi, ...	Closed environments facilitate secondary transmission of coronavirus disease 2019 (COVID-19)	https://www.medRxiv.org/content/10.1101/2020.02.28.20029272v1.article-metrics
229	medRxiv	Epidemiology	Megan O'Driscoll,  Gabriel Ribeiro Dos Santos,  Lin Wang, ...	Age-specific mortality and immunity patterns of SARS-CoV-2 infection in 45 countries	https://www.medRxiv.org/content/10.1101/2020.08.24.20180851v1.article-metrics
182	medRxiv	Epidemiology	Roberto Pastor-Barriuso,  Beatriz Perez-Gomez,  Miguel A Hernan, ...	SARS-CoV-2 infection fatality risk in a nationwide seroepidemiological study	https://www.medRxiv.org/content/10.1101/2020.08.06.20169722v1.article-metrics
187	medRxiv	Epidemiology	Jordan Peccia,  Alessandro Zulli,  Doug E. Brackney, ...	SARS-CoV-2 RNA concentrations in primary municipal sewage sludge as a leading indicator of COVID-19 outbreak dynamics	https://www.medRxiv.org/content/10.1101/2020.05.19.20105999v1.article-metrics
184	medRxiv	Epidemiology	Sen Pei,  Kristina A. Dahl,  Teresa K. Yamana, ...	Compound risks of hurricane evacuation amid the COVID-19 pandemic in the United States	https://www.medRxiv.org/content/10.1101/2020.08.07.20170555v1.article-metrics
180	medRxiv	Epidemiology	William Thomas Pike,  Vikas Saini,  Ruoke Wang, ...	An international comparison of the second derivative of COVID-19 deaths after implementation of social distancing measures	https://www.medRxiv.org/content/10.1101/2020.03.25.20041475v1.article-metrics
190	medRxiv	Epidemiology	Mette Reilev,  Kasper Bruun Kristensen,  Anton Pottegaard, ...	Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort	https://www.medRxiv.org/content/10.1101/2020.05.24.20111823v1.article-metrics
202	medRxiv	Epidemiology	Jessica Rothman,  David Eidelberg,  Samantha Rothman, ...	Analysis of the time and age dependence of the case fatality ratio for COVID-19 in 7 countries with a high total to positive test ratio suggests that the true CFR may be significantly underestimated for the United States in current models	https://www.medRxiv.org/content/10.1101/2020.05.13.20101022v1.article-metrics
168	medRxiv	Epidemiology	Giovanni Sala,  Rik Chakraborti,  Atsuhiko Ota, ...	Association of BCG vaccination policy with prevalence and mortality of COVID-19	https://www.medRxiv.org/content/10.1101/2020.03.30.20048165v1.article-metrics
185	medRxiv	Epidemiology	Steven Sanche,  Yen Ting Lin,  Chonggang Xu, ...	The Novel Coronavirus, 2019-nCoV, is Highly Contagious and More Infectious Than Initially Estimated	https://www.medRxiv.org/content/10.1101/2020.02.07.20021154v1.article-metrics
225	medRxiv	Epidemiology	Julia P. Schleimer,  Christopher D. McCort,  Veronia A. Pear, ...	Firearm Purchasing and Firearm Violence in the First Months of the Coronavirus Pandemic in the United States	https://www.medRxiv.org/content/10.1101/2020.07.02.20145508v1.article-metrics
173	medRxiv	Epidemiology	Nian Shao,  Hanshuang Pan,  Xingjie Li, ...	CoVID-19 in Japan: What could happen in the future?	https://www.medRxiv.org/content/10.1101/2020.02.21.20026070v1.article-metrics
227	medRxiv	Epidemiology	Jamie Shutler,  Krzysztof Zaraska,  Thomas M Holding, ...	Risk of SARS-CoV-2 infection from contaminated water systems	https://www.medRxiv.org/content/10.1101/2020.06.17.20133504v1.article-metrics
199	medRxiv	Epidemiology	Justin D Silverman,  Nathaniel Hupert,  Alex D Washburne, ...	Using ILI surveillance to estimate state-specific case detection rates and forecast SARS-CoV-2 spread in the United States	https://www.medRxiv.org/content/10.1101/2020.04.01.20050542v1.article-metrics
171	medRxiv	Epidemiology	Daniel Stadlbauer,  Jessica Tan,  Kaijun Jiang, ...	Seroconversion of a city: Longitudinal monitoring of SARS-CoV-2 seroprevalence in New York City	https://www.medRxiv.org/content/10.1101/2020.06.28.20142190v1.article-metrics
232	medRxiv	Epidemiology	Helena B Stage,  Joseph Shingleton,  Sanmitra Ghosh, ...	Shut and re-open: the role of schools in the spread of COVID-19 in Europe	https://www.medRxiv.org/content/10.1101/2020.06.24.20139634v1.article-metrics
213	medRxiv	Epidemiology	Ashleigh R. Tuite,  Isaac Bogoch,  Ryan Sherbo, ...	Estimation of COVID-2019 burden and potential for international dissemination of infection from Iran	https://www.medRxiv.org/content/10.1101/2020.02.24.20027375v1.article-metrics
178	medRxiv	Epidemiology	Erik M Volz,  Verity Hill,  John T McCrone, ...	Evaluating the effects of SARS-CoV-2 Spike mutation D614G on transmissibility and pathogenicity	https://www.medRxiv.org/content/10.1101/2020.07.31.20166082v1.article-metrics
194	medRxiv	Epidemiology	Philippa M Wells,  Katie M Doores,  Simon Couvreur, ...	Estimates of the rate of infection and asymptomatic COVID-19 disease in a population sample from SE England	https://www.medRxiv.org/content/10.1101/2020.07.29.20162701v1.article-metrics
176	medRxiv	Epidemiology	Paul Wikramaratna,  Robert S Paton,  Mahan Ghafari, ...	Estimating false-negative detection rate of SARS-CoV-2 by RT-PCR	https://www.medRxiv.org/content/10.1101/2020.04.05.20053355v1.article-metrics
233	medRxiv	Epidemiology	Xiao Wu,  Rachel C. Nethery,  Benjamin M. Sabath, ...	Exposure to air pollution and COVID-19 mortality in the United States	https://www.medRxiv.org/content/10.1101/2020.04.05.20054502v1.article-metrics
164	medRxiv	Epidemiology	Sebastien Wurtzer,  Vincent Marechal,  Jean-Marie Mouchel, ...	Time course quantitative detection of SARS-CoV-2 in Parisian wastewaters correlates with COVID-19 confirmed cases	https://www.medRxiv.org/content/10.1101/2020.04.12.20062679v1.article-metrics
179	medRxiv	Epidemiology	Yang Yang,  Qingbin Lu,  Mingjin Liu, ...	Epidemiological and clinical features of the 2019 novel coronavirus outbreak in China	https://www.medRxiv.org/content/10.1101/2020.02.10.20021675v1.article-metrics
226	medRxiv	Epidemiology	Claudio Zanettini,  Mohamed Omar,  Wikum Dinalankara, ...	Influenza Vaccination and COVID19 Mortality in the USA	https://www.medRxiv.org/content/10.1101/2020.06.24.20129817v1.article-metrics
200	medRxiv	Epidemiology	Jiao Zhao,  Yan Yang,  Hanping Huang, ...	Relationship between the ABO Blood Group and the COVID-19 Susceptibility	https://www.medRxiv.org/content/10.1101/2020.03.11.20031096v1.article-metrics
188	medRxiv	Epidemiology	Yanshan Zhu,  Conor J Bloxham,  Katina D Hulme, ...	Children are unlikely to have been the primary source of household SARS-CoV-2 infections	https://www.medRxiv.org/content/10.1101/2020.03.26.20044826v1.article-metrics
144	medRxiv	Infectious Diseases	Amin Addetia,  Katharine HD Crawford,  Adam Dingens, ...	Neutralizing antibodies correlate with protection from SARS-CoV-2 in humans during a fishery vessel outbreak with high attack rate	https://www.medRxiv.org/content/10.1101/2020.08.13.20173161v1.article-metrics
56	medRxiv	Infectious Diseases	Imtiaz Ahmad,  Mohammud Alam,  Ryan Saadi, ...	Doxycycline and Hydroxychloroquine as Treatment for High-Risk COVID-19 Patients: Experience from Case Series of 54 Patients in Long-Term Care Facilities	https://www.medRxiv.org/content/10.1101/2020.05.18.20066902v1.article-metrics
64	medRxiv	Infectious Diseases	Iradj Amirlak,  Rifat Haddad,  John Denis Hardy, ...	Effectiveness of booster BCG vaccination in preventing Covid-19 infection	https://www.medRxiv.org/content/10.1101/2020.08.10.20172288v1.article-metrics
5	medRxiv	Infectious Diseases	Ingrid Arevalo-Rodriguez,  Diana Buitrago-Garcia,  Daniel Simancas-Racines, ...	FALSE-NEGATIVE RESULTS OF INITIAL RT-PCR ASSAYS FOR COVID-19: A SYSTEMATIC REVIEW	https://www.medRxiv.org/content/10.1101/2020.04.16.20066787v1.article-metrics
125	medRxiv	Infectious Diseases	Anna C. Aschenbrenner,  Maria Mouktaroudi,  Benjamin Kraemer, ...	Disease severity-specific neutrophil signatures in blood transcriptomes stratify COVID-19 patients	https://www.medRxiv.org/content/10.1101/2020.07.07.20148395v1.article-metrics
83	medRxiv	Infectious Diseases	Parham Azimi,  Zahra Keshavarz,  Jose Guillermo Cedeno Laurent, ...	Mechanistic Transmission Modeling of COVID-19 on the Diamond Princess Cruise Ship Demonstrates the Importance of Aerosol Transmission	https://www.medRxiv.org/content/10.1101/2020.07.13.20153049v1.article-metrics
88	medRxiv	Infectious Diseases	Nicolas Banholzer,  Eva van Weenen,  Bernhard Kratzwald, ...	Estimating the impact of non-pharmaceutical interventions on documented infections with COVID-19: A cross-country analysis	https://www.medRxiv.org/content/10.1101/2020.04.16.20062141v1.article-metrics
42	medRxiv	Infectious Diseases	Raja Bhattacharya,  Sampurna Chowdhury,  Rishav Mukherjee, ...	Pre exposure Hydroxychloroquine use is associated with reduced COVID19 risk in healthcare workers	https://www.medRxiv.org/content/10.1101/2020.06.09.20116806v1.article-metrics
159	medRxiv	Infectious Diseases	Qifang Bi,  Yongsheng Wu,  Shujiang Mei, ...	Epidemiology and Transmission of COVID-19 in Shenzhen China: Analysis of 391 cases and 1,286 of their close contacts	https://www.medRxiv.org/content/10.1101/2020.03.03.20028423v1.article-metrics
86	medRxiv	Infectious Diseases	Andrea Bianco,  Mara Biasin,  Giovanni Pareschi, ...	UV-C irradiation is highly effective in inactivating and inhibiting SARS-CoV-2 replication	https://www.medRxiv.org/content/10.1101/2020.06.05.20123463v1.article-metrics
4	medRxiv	Infectious Diseases	Julian Braun,  Lucie Loyal,  Marco Frentsch, ...	Presence of SARS-CoV-2 reactive T cells in COVID-19 patients and healthy donors	https://www.medRxiv.org/content/10.1101/2020.04.17.20061440v1.article-metrics
98	medRxiv	Infectious Diseases	Tom Britton,  Juan P Torres,  Miguel ORyan, ...	Basic estimation-prediction techniques for Covid-19, and a prediction for Stockholm	https://www.medRxiv.org/content/10.1101/2020.04.15.20066050v1.article-metrics
67	medRxiv	Infectious Diseases	Andrew Bryan,  Gregory Pepper,  Mark H. Wener, ...	Performance Characteristics of the Abbott Architect SARS-CoV-2 IgG Assay and Seroprevalence Testing in Idaho	https://www.medRxiv.org/content/10.1101/2020.04.27.20082362v1.article-metrics
135	medRxiv	Infectious Diseases	Oyungerel Byambasuren,  Magnolia Cardona,  Katy Bell, ...	Estimating the extent of true asymptomatic COVID-19 and its potential for community transmission: systematic review and meta-analysis	https://www.medRxiv.org/content/10.1101/2020.05.10.20097543v1.article-metrics
36	medRxiv	Infectious Diseases	Philip Carlucci,  Tania Ahuja,  Christopher M Petrilli, ...	Hydroxychloroquine and azithromycin plus zinc vs hydroxychloroquine and azithromycin alone: outcomes in hospitalized COVID-19 patients	https://www.medRxiv.org/content/10.1101/2020.05.02.20080036v1.article-metrics
130	medRxiv	Infectious Diseases	Luca Carsana,  Aurelio Sonzogni,  Ahmed Nasr, ...	Pulmonary post-mortem findings in a large series of COVID-19 cases from Northern Italy	https://www.medRxiv.org/content/10.1101/2020.04.19.20054262v1.article-metrics
14	medRxiv	Infectious Diseases	Muge Cevik,  Matthew Tate,  Oliver Lloyd, ...	SARS-CoV-2 viral load dynamics, duration of viral shedding and infectiousness: a living systematic review and meta-analysis	https://www.medRxiv.org/content/10.1101/2020.07.25.20162107v1.article-metrics
91	medRxiv	Infectious Diseases	Jose Chacko,  Gagan Brar,  Robert Premkumar, ...	Hydroxychloroquine in COVID-19: A systematic review and meta-analysis	https://www.medRxiv.org/content/10.1101/2020.05.14.20101774v1.article-metrics
32	medRxiv	Infectious Diseases	Gabriel Chamie,  Carina Marquez,  Emily Crawford, ...	SARS-CoV-2 Community Transmission During Shelter-in-Place in San Francisco	https://www.medRxiv.org/content/10.1101/2020.06.15.20132233v1.article-metrics
26	medRxiv	Infectious Diseases	Amanda Chamieh,  Claude Afif,  Gerard El-Hajj, ...	Viral Dynamics Matter in COVID-19 Pneumonia: the success of early treatment with hydroxychloroquine and azithromycin in Lebanon.	https://www.medRxiv.org/content/10.1101/2020.05.28.20114835v1.article-metrics
8	medRxiv	Infectious Diseases	Min Cheol Chang,  Jian Hur,  Donghwi Park, ...	Chest Computed Tomography Findings in Asymptomatic Patients with COVID-19	https://www.medRxiv.org/content/10.1101/2020.05.09.20096370v1.article-metrics
82	medRxiv	Infectious Diseases	Joseph T. Chang,  Forrest W. Crawford,  Edward H. Kaplan, ...	Repeat SARS-CoV-2 Testing Models for Residential College Populations	https://www.medRxiv.org/content/10.1101/2020.07.09.20149351v1.article-metrics
79	medRxiv	Infectious Diseases	Chang Chen,  Yi Zhang,  Jianying Huang, ...	Favipiravir versus Arbidol for COVID-19: A Randomized Clinical Trial	https://www.medRxiv.org/content/10.1101/2020.03.17.20037432v1.article-metrics
90	medRxiv	Infectious Diseases	Lan Chen,  Zhen-yu Zhang,  Jian-guo Fu, ...	Efficacy and safety of chloroquine or hydroxychloroquine in moderate type of COVID-19: a prospective open-label randomized controlled study	https://www.medRxiv.org/content/10.1101/2020.06.19.20136093v1.article-metrics
141	medRxiv	Infectious Diseases	Ali Daneshkhah,  Vasundhara Agrawal,  Adam Eshein, ...	The Role of Vitamin D in Suppressing Cytokine Storm in COVID-19 Patients and Associated Mortality	https://www.medRxiv.org/content/10.1101/2020.04.08.20058578v1.article-metrics
17	medRxiv	Infectious Diseases	Adam S Dingens,  Katharine HD Crawford,  Amanda Adler, ...	Seroprevalence of SARS-CoV-2 among children visiting a hospital during the initial Seattle outbreak	https://www.medRxiv.org/content/10.1101/2020.05.26.20114124v1.article-metrics
96	medRxiv	Infectious Diseases	Annemarie B Docherty,  Ewen M Harrison,  Christopher A Green, ...	Features of 16,749 hospitalised UK patients with COVID-19 using the ISARIC WHO Clinical Characterisation Protocol	https://www.medRxiv.org/content/10.1101/2020.04.23.20076042v1.article-metrics
18	medRxiv	Infectious Diseases	Alexandra N Donlan,  Mary Young,  William A Petri Jr., ...	IL-13 Predicts the Need for Mechanical Ventilation in COVID-19 Patients	https://www.medRxiv.org/content/10.1101/2020.06.18.20134353v1.article-metrics
72	medRxiv	Infectious Diseases	David A Dorward,  Clark D Russell,  In Hwa Um, ...	Tissue-specific tolerance in fatal Covid-19	https://www.medRxiv.org/content/10.1101/2020.07.02.20145003v1.article-metrics
142	medRxiv	Infectious Diseases	Martin Dugas,  Inga Marie Schrempf,  Kevin Ochs, ...	Association of contact to small children with mild course of COVID-19	https://www.medRxiv.org/content/10.1101/2020.07.20.20157149v1.article-metrics
109	medRxiv	Infectious Diseases	Arthur WD Edridge,  Joanna M Kaczorowska,  Alexis CR Hoste, ...	Human coronavirus reinfection dynamics: lessons for SARS-CoV-2	https://www.medRxiv.org/content/10.1101/2020.05.11.20086439v1.article-metrics
16	medRxiv	Infectious Diseases	David Ellinghaus,  Frauke Degenhardt,  Luis Bujanda, ...	The ABO blood group locus and a chromosome 3 gene cluster associate with SARS-CoV-2 respiratory failure in an Italian-Spanish genome-wide association analysis	https://www.medRxiv.org/content/10.1101/2020.05.31.20114991v1.article-metrics
19	medRxiv	Infectious Diseases	Akira Endo,  - Centre for the Mathematical Modelling of Infectious Diseases (CMMID) COVID-19 Working Group,  Quentin J Leclerc, ...	Implication of backward contact tracing in the presence of overdispersed transmission in COVID-19 outbreak	https://www.medRxiv.org/content/10.1101/2020.08.01.20166595v1.article-metrics
104	medRxiv	Infectious Diseases	David W Eyre,  Sheila F Lumley,  Mark Campbell, ...	Differential occupational risks to healthcare workers from SARS-CoV-2: A prospective observational study	https://www.medRxiv.org/content/10.1101/2020.06.24.20135038v1.article-metrics
95	medRxiv	Infectious Diseases	Alyssa C Fears,  William B Klimstra,  Paul Duprex, ...	Comparative dynamic aerosol efficiencies of three emergent coronaviruses and the unusual persistence of SARS-CoV-2 in aerosol suspensions	https://www.medRxiv.org/content/10.1101/2020.04.13.20063784v1.article-metrics
133	medRxiv	Infectious Diseases	Ana Da Silva Filipe,  James Shepherd,  Thomas Williams, ...	Genomic epidemiology of SARS-CoV-2 spread in Scotland highlights the role of European travel in COVID-19 emergence	https://www.medRxiv.org/content/10.1101/2020.06.08.20124834v1.article-metrics
41	medRxiv	Infectious Diseases	Robert Fischer,  Dylan H Morris,  Neeltje van Doremalen, ...	Assessment of N95 respirator decontamination and re-use for SARS-CoV-2	https://www.medRxiv.org/content/10.1101/2020.04.11.20062018v1.article-metrics
61	medRxiv	Infectious Diseases	Gislaine Fongaro,  Patricia Hermes Stoco,  Doris Sobral Marques Souza, ...	SARS-CoV-2 in human sewage in Santa Catalina, Brazil, November 2019	https://www.medRxiv.org/content/10.1101/2020.06.26.20140731v1.article-metrics
118	medRxiv	Infectious Diseases	Susana C Fonseca,  Ioar Rivas,  Dora Romaguera, ...	Association between consumption of vegetables and COVID-19 mortality at a country level in Europe	https://www.medRxiv.org/content/10.1101/2020.07.17.20155846v1.article-metrics
70	medRxiv	Infectious Diseases	Arnaud Fontanet,  Laura Tondeur,  Yoann Madec, ...	Cluster of COVID-19 in northern France: A retrospective closed cohort study	https://www.medRxiv.org/content/10.1101/2020.04.18.20071134v1.article-metrics
13	medRxiv	Infectious Diseases	Alisa Fox,  Jessica Marino,  Fatima Amanat, ...	Evidence of a significant secretory-IgA-dominant SARS-CoV-2 immune response in human milk following recovery from COVID-19	https://www.medRxiv.org/content/10.1101/2020.05.04.20089995v1.article-metrics
139	medRxiv	Infectious Diseases	Robin Franklin,  Adam Young,  Bjoern Neumann, ...	Homologous protein domains in SARS-CoV-2 and measles, mumps and rubella viruses: preliminary evidence that MMR vaccine might provide protection against COVID-19	https://www.medRxiv.org/content/10.1101/2020.04.10.20053207v1.article-metrics
44	medRxiv	Infectious Diseases	Floriane Gallais,  Aurelie Velay,  Marie-Josee Wendling, ...	Intrafamilial Exposure to SARS-CoV-2 Induces Cellular Immune Response without Seroconversion	https://www.medRxiv.org/content/10.1101/2020.06.21.20132449v1.article-metrics
157	medRxiv	Infectious Diseases	Tapiwa Ganyani,  Cecile Kremer,  Dongxuan Chen, ...	Estimating the generation interval for COVID-19 based on symptom onset data	https://www.medRxiv.org/content/10.1101/2020.03.05.20031815v1.article-metrics
33	medRxiv	Infectious Diseases	Jemma L Geoghegan,  Xiaoyun Ren,  Matthew Storey, ...	Genomic epidemiology reveals transmission patterns and dynamics of SARS-CoV-2 in Aotearoa New Zealand	https://www.medRxiv.org/content/10.1101/2020.08.05.20168930v1.article-metrics
